From	To
4EBP1	8
4EBP1	44
4EBP1	MAPK14
4EBP1	280
1	8
1	BAD
1	CSNK1A1
1	79
1	151
1	202
1	222
2	112
2	LYN
2	172
2	NFKB2
2	226
2	231
2	273
2	277
2	292
3	17
3	CBL
3	CCNA2
3	51
3	72
3	73
3	79
3	113
3	FYN
3	127
3	170
3	246
3	SRC
3	290
3	304
add1	3
add1	8
add1	75
add1	CSNK1E
add1	HIPK2
add1	JAK1
add1	LYN
add1	202
add1	273
7	23
7	131
7	147
7	LYN
7	MET
7	179
7	SMAD3
AKAP95	CASP3
AKAP95	44
AKAP95	170
8	CCNA2
8	FYN
8	202
8	PRKCI
8	270
8	272
AML1	78
AML1	HAT1
AML1	171
AML1	200
AML1	RUVBL1
10	ANAPC4
10	11
10	42
10	47
10	CDK2
10	FZR1
10	204
10	205
10	206
10	207
10	208
10	UBE2E1
ANAPC4	11
ANAPC4	42
ANAPC4	47
ANAPC4	CDK2
ANAPC4	FZR1
ANAPC4	204
ANAPC4	205
ANAPC4	206
ANAPC4	207
ANAPC4	208
ANAPC4	UBE2E1
11	250
11	SMAD3
11	TGFB1
12	226
12	233
12	UBE2D1
15	17
15	79
15	176
15	NOTCH3
16	15
16	17
16	79
16	176
16	NOTCH3
17	73
17	FYN
APPL2	128
APPL2	129
APPL2	224
ARA54	108
ARA54	NCOA3
ARA54	171
ARA54	PIAS1
ARA54	222
ARA54	UBE2D1
ARA54	UBE2E1
ARA54	UBE2L3
18	72
18	73
18	75
18	113
18	FYN
18	GIT1
18	NCOA3
18	PAK1
18	212
18	214
18	215
18	222
18	230
18	SMAD3
18	SRC
18	283
19	108
19	133
19	NCOA3
19	222
20	133
20	202
20	PRKCB
21	194
ARNIP	23
ARNIP	40
ARNIP	GIT1
ARNIP	202
ARNIP	PRKCB
23	93
23	FYN
23	131
24	CCNA2
24	42
24	47
24	171
BAF53A	HAT1
BAF53A	170
BAF53A	RUVBL1
BAF53A	254
BAF53A	255
BAF53A	256
BAF53A	257
BAF53A	258
28	136
BP75	CCNH
BP75	PCAF
29	79
29	113
29	130
BTRC2	15
BTRC2	BTRC
BTRC2	79
BTRC2	81
BTRC2	FBXW7
BTRC2	GSK3B
BTRC2	RBX1
BTRC2	249
BTRC2	SKP2
BTRC2	UBE2L3
34	SMAD3
34	270
34	272
38	54
38	104
38	FYN
38	128
38	129
38	NFKB2
38	231
CASP3	39
CASP3	CBL
CASP3	41
CASP3	46
CASP3	72
CASP3	75
CASP3	79
CASP3	EPS15
CASP3	112
CASP3	FYN
CASP3	176
CASP3	NOTCH3
CASP3	PIK3R2
CASP3	194
CASP3	PRKCI
CASP3	246
CASP3	268
CASP3	292
39	75
40	CBL
40	73
40	75
40	99
40	126
40	LYN
40	230
40	SRC
40	268
40	272
CBL	14
CBL	41
CBL	CDC25C
CBL	72
CBL	73
CBL	75
CBL	79
CBL	DAB2
CBL	EPOR
CBL	99
CBL	112
CBL	FYN
CBL	126
CBL	127
CBL	HD
CBL	JAK1
CBL	151
CBL	LYN
CBL	MET
CBL	NCK2
CBL	PIK3R2
CBL	214
CBL	246
CBL	SRC
CBL	268
CBL	270
CBL	272
CBL	302
41	3
41	14
41	72
41	73
41	75
41	DAB2
41	EPOR
41	99
41	112
41	FYN
41	126
41	127
41	HD
41	JAK1
41	LYN
41	MET
41	PIK3R2
41	212
41	214
41	246
41	SRC
41	268
41	270
41	272
41	302
CCNA2	42
CCNA2	43
CCNA2	44
CCNA2	CCNH
CCNA2	CDK2
CCNA2	CDK4
CCNA2	54
CCNA2	E2F4
CCNA2	128
CCNA2	138
CCNA2	160
CCNA2	266
42	43
42	CDC25C
42	51
42	CDK2
42	CDK4
42	79
42	112
42	115
42	FZR1
42	GIT1
42	130
42	HES1
42	136
42	138
42	160
42	PKN1
42	202
42	205
42	216
42	290
42	292
43	3
43	CCNH
43	CDC25C
43	CDK2
43	54
43	56
43	103
43	115
43	FZR1
43	ID3
43	159
43	160
43	202
43	205
43	RBL2
43	239
44	CDK4
44	56
44	DYRK1A
44	128
44	129
44	PRKCI
44	SMAD3
CCNH	CDK2
CCNH	54
CCNH	79
CCNH	FZR1
CCNH	144
CCNH	LYN
CCNH	159
46	99
46	PRKCI
46	SMAD3
46	TGFB1
47	CCNA2
47	43
47	CDK2
47	54
47	79
47	FZR1
47	144
47	LYN
47	159
47	205
CDC25C	34
CDC25C	CCNA2
CDC25C	CDK2
CDC25C	56
CDC25C	112
CDC25C	MAPK14
CDC25C	PIN1
CDC25C	PKN1
CDC25C	290
50	FZR1
50	128
50	129
51	8
51	PAK1
51	PRKCI
51	SRC
51	302
CDK2	CDK4
CDK2	54
CDK2	56
CDK2	79
CDK2	FZR1
CDK2	GIT1
CDK2	129
CDK2	138
CDK2	159
CDK2	160
CDK2	202
CDK2	205
CDK2	250
CDK2	268
CDK4	56
CDK4	78
CDK4	159
CDK4	160
CDK4	PRKACA
CDK4	250
CDK4	SMAD3
CDK4	266
CDK4	TGFB1
54	14
54	FRAP1
54	FZR1
54	138
54	ID3
54	MAPK14
54	290
56	FZR1
56	128
56	129
60	8
60	CASP3
60	39
60	104
60	172
60	231
60	292
62	13
62	CBL
62	41
62	51
62	DAB2
62	EPS15
62	127
62	131
62	MAP3K4
62	MET
62	SPRY2
62	SRC
63	128
63	129
63	130
63	171
63	242
63	261
64	APPL2
64	79
64	92
64	DVL2
64	93
64	113
64	128
64	129
64	170
64	194
64	224
64	226
65	50
65	79
65	92
65	DVL2
65	93
65	113
65	128
65	170
65	PIN1
65	226
66	CSNK1A1
66	76
66	CSNK1E
66	105
66	GSK3B
66	168
68	EPS15
68	128
68	129
68	131
68	151
68	NUP153
68	183
68	SMAD3
68	302
69	COPS5
69	210
69	250
COPS5	SMAD3
72	75
72	99
72	FYN
72	127
72	JAK1
72	LYN
72	MET
72	212
72	SRC
72	268
72	270
73	51
73	75
73	CSNK1E
73	EPOR
73	FYN
73	GIT1
73	126
73	127
73	JAK1
73	LYN
73	MET
73	NCK2
73	PIK3R2
73	200
73	202
73	212
73	214
73	216
73	SMAD3
73	SOCS5
73	SRC
73	268
73	269
73	270
73	272
73	292
73	302
74	14
74	42
74	72
74	79
74	128
74	172
74	NUP153
74	222
74	226
74	268
74	290
75	3
75	77
75	DAB2
75	EPOR
75	FYN
75	126
75	127
75	HD
75	JAK1
75	149
75	LYN
75	MET
75	NCK2
75	190
75	PIK3R2
75	194
75	201
75	202
75	212
75	246
75	250
75	SMAD3
75	SRC
75	268
75	269
75	270
75	272
76	CSNK1A1
76	DVL2
76	93
76	IKBKAP
CSNK1E	14
CSNK1E	EPS15
CSNK1E	FYN
CSNK1E	IKBKAP
CSNK1E	272
77	85
77	103
77	HD
77	128
77	NCOA3
77	190
77	226
77	267
77	268
77	269
CTBP2	128
CTBP2	129
78	266
79	14
79	FYN
79	128
79	129
79	176
79	250
79	SMAD3
81	BTRC
81	CDK2
81	56
81	COPS5
81	79
81	FBXW7
81	FZR1
81	172
81	211
81	RBX1
81	249
81	SKP2
81	SMAD3
DAB2	FYN
DAB2	LYN
DAB2	PIK3R2
DAB2	250
DAB2	SMAD3
DAB2	268
DAB2	TGFB1
DAB2	302
84	104
84	PML
85	104
85	128
85	149
85	231
85	SMAD3
85	266
85	268
86	21
86	CBL
86	41
86	72
86	127
86	212
86	215
86	SRC
87	CCNA2
87	G3BP2
87	GSK3B
87	266
92	14
92	23
92	CSNK1E
92	79
92	80
92	DVL2
92	93
92	FZD1
92	FZD4
92	116
92	FZD6
92	117
92	GSK3B
92	176
92	216
92	WNT5A
DVL2	CSNK1A1
DVL2	93
93	CSNK1A1
93	SMAD3
DYRK1A	131
DYRK1A	250
DYRK1A	SMAD3
DYRK1A	TGFB1
E2F5	CCNA2
E2F5	E2F4
E2F5	254
E2F5	269
E2F5	290
94	3
94	8
94	51
94	72
94	98
94	LYN
94	170
94	216
94	SRC
94	302
95	99
95	129
95	KPNA3
95	PAK1
95	202
95	235
95	236
95	238
EF1A	BAD
EF1A	UBE3A
96	200
96	207
96	254
97	46
97	250
97	266
97	TGFB1
97	281
97	283
EPOR	3
EPOR	FYN
EPOR	127
EPOR	JAK1
EPOR	LYN
EPOR	PIK3R2
EPOR	SRC
EPOR	268
EPOR	270
EPOR	272
EPOR	302
EPS15	99
EPS15	127
EPS15	131
EPS15	238
99	3
99	14
99	FYN
99	126
99	127
99	131
99	151
99	152
99	LYN
99	MET
99	NCK2
99	PIK3R2
99	194
99	202
99	212
99	231
99	246
99	SRC
99	268
99	270
99	272
99	302
100	8
100	23
100	BAD
100	CBL
100	46
100	CDK2
100	CDK4
100	69
100	73
100	75
100	79
100	DYRK1A
100	EPOR
100	103
100	113
100	FYN
100	126
100	128
100	131
100	136
100	138
100	JAK1
100	147
